Backing in 7                  ,Gary Graver                                                                                              
Barbara the Barbarian         ,Gary Graver                                                                                              
Batman: Dead End              ,Sandy Collora                                                                                            
Babycakes                     ,Paul Schneider                                                                                           
Bare Essentials               ,Martha Coolidge                                                                                          
Baby Buggy Bunny              ,Chuck Jones                                                                                              
Barbary-Coast Bunny           ,Chuck Jones                                                                                              
Baton Bunny                   ,Chuck Jones                                                                                              
Bad Day at Cat Rock           ,Chuck Jones                                                                                              
Bach Cello Suite #6: Six Gestu,Patricia Rozema                                                                                          
Baby Boy                      ,John Singleton                                                                                           
Baadasssss!                   ,Mario Van Peebles                                                                                        
Bajo en nicotina              ,Raúl Artigot                                                                                            
Batallons de muntanya         ,Manuel Berenguer                                                                                         
Bath Scene                    ,William K.L. Dickson                                                                                     
Band Drill                    ,William K.L. Dickson                                                                                     
Barcelona bajo la nieve       ,Fructuós Gelabert                                                                                       
Balkan Runner                 ,Stelvio Massi                                                                                            
Ballermann 6                  ,Gernot Roll                                                                                              
Baberellas                    ,Chuck Cirino                                                                                             
Bandits and Ballads           ,Friedrich Hollaender                                                                                     
Bala                          ,Satyajit Ray                                                                                             
Bahen                         ,Mehboob Khan                                                                                             
Baduk                         ,Majid Majidi                                                                                             
Baran                         ,Majid Majidi                                                                                             
Barefoot to Herat             ,Majid Majidi                                                                                             
Babushka Part One             ,Derek Lister                                                                                             
Bats in the Belfry            ,Paul J. Smith                                                                                            
Bangaru Gaajulu               ,Rao C.S.R.                                                                                               
Bandhalu Anubhandhalu         ,Rao C.S.R.                                                                                               
Backlash                      ,David de Vos                                                                                             
Baby Face Nelson              ,Scott P. Levy                                                                                            
Baby Love and Beau            ,Damian Lee                                                                                               
Bankraub                      ,Konrad Sabrautzky                                                                                        
Baldauf                       ,Konrad Sabrautzky                                                                                        
Baby Be Good                  ,Charles Lamont                                                                                           
Bagdad                        ,Charles Lamont                                                                                           
Bachelor Babies               ,Charles Lamont                                                                                           
Bauernschach                  ,Helmut Berger                                                                                            
Bats                          ,Louis Morneau                                                                                            
Baggage                       ,Evan Aaronson                                                                                            
Bambai Raat Ki Bahon Mein     ,Khwaja Ahmad Abbas                                                                                       
Back to Front                 ,Sam Abdul                                                                                                
Baja California               ,Jesus Hermenegildo Abitia                                                                                
Baby Bridges: Space and Sea   ,Deren Abram                                                                                              
Banjoman                      ,Richard Gilbert Abramson                                                                                 
Bandipotu                     ,B. Vittalacharya                                                                                         
Bandhan                       ,N.R. Acharya                                                                                             
Babs                          ,Irma Achten                                                                                              
Baby                          ,Robert Allan Ackerman                                                                                    
Bark!                         ,Kasia Adamik                                                                                             
Babewatch                     ,Buck Adams                                                                                               
Babewatch 2                   ,Buck Adams                                                                                               
Babewatch 3                   ,Buck Adams                                                                                               
Babewatch 4                   ,Buck Adams                                                                                               
Backhand                      ,Buck Adams                                                                                               
Bare Ass Beach                ,Buck Adams                                                                                               
Babewatch 5                   ,Buck Adams                                                                                               
Banned                        ,Roberta Findlay                                                                                          
Bashful Glen                  ,John G. Adolfi                                                                                           
Bahare Sulemani               ,Jagatrai Pesumal Advani                                                                                  
Baka: The People of the Rainfo,Phil Agland                                                                                              
Babla                         ,Agradoot                                                                                                 
Badsha                        ,Agradoot                                                                                                 
Bajo el cielo de Sonora       ,Rolando Aguilar                                                                                          
Barrio de sangre              ,Luis Eduardo Agüero                                                                                     
Babysitters                   ,Aarne Ahi                                                                                                
Bamboo Boys                   ,Ramasimhan                                                                                               
Bahtimin yildizi              ,Nuri Akinci                                                                                              
Baraj                         ,Orhan Aksoy                                                                                              
Bamba kasher                  ,Hasan El-Emam                                                                                            
Babylon My Beloved            ,Faisal Al-Yasiri                                                                                         
Backdoor Smugglers            ,Jaacov Jaacovi                                                                                           
Back Home Years Ago: The Real ,Joseph F. Alexandre                                                                                      
Badaranii                     ,Sica Alexandrescu                                                                                        
Balatum                       ,Alexander Alexeieff                                                                                      
Bambi                         ,James Algar                                                                                              
Bahador                       ,Abdollah Alimorad                                                                                        
Bachman-Turner Overdrive      ,W. Peter Allies                                                                                          
Bab El Oued City              ,Merzak Allouache                                                                                         
Bab el web                    ,Merzak Allouache                                                                                         
Banquete das Taras            ,Carlos Alberto Almeida                                                                                   
Backfire!                     ,Paul Almond                                                                                              
Batman: Mask of the Phantasm  ,Kevin Altieri                                                                                            
Banquete en Chapultepec       ,Hermanos Alva                                                                                            
Bas belasi                    ,Arsevir Alyanak                                                                                          
Bada Bhai                     ,K. Amarnath                                                                                              
Bahadur Ramesh                ,K. Amarnath                                                                                              
Bandukwali                    ,K. Amarnath                                                                                              
Baraat                        ,K. Amarnath                                                                                              
Bara-Dari                     ,K. Amarnath                                                                                              
Bazar                         ,K. Amarnath                                                                                              
Bakom masker                  ,Lars Amble                                                                                               
Bacchanale                    ,John Amero                                                                                               
Bacchanale                    ,Lem Amero                                                                                                
Baixant de la Font del Gat    ,Josep Amich i Bert                                                                                       
Bad Company                   ,Jean-Pierre Améris                                                                                      
Balwaan                       ,Deepak Anand                                                                                             
Banditen der Autobahn         ,Géza von Cziffra                                                                                        
Ballad of the Masterthief Ole ,Knut Andersen                                                                                            
Battle Hell                   ,Michael Anderson                                                                                         
Badminton                     ,Philip W. Anderson                                                                                       
Barely Legal 29               ,Ray Anderson                                                                                             
Barely Legal 22               ,Ray Anderson                                                                                             
Barocco                       ,André Téchiné                                                                                         
Bamse i Trollskogen           ,Rune Andréasson                                                                                         
Balibalo                      ,Marc Andréoni                                                                                           
Baietii nostri                ,Anastasia Anghel                                                                                         
Balade en ville               ,Marc Angelo                                                                                              
Bak syv hav                   ,Sajeed Anjum                                                                                             
Bad Boy Benny                 ,Eitan Anner                                                                                              
Bambi Kofetset Lamaim         ,Eitan Anner                                                                                              
Baby of the Family            ,Jonee Ansa                                                                                               
Battle Cries                  ,Sólveig Anspach                                                                                         
Balkan Express 2              ,Predrag Antonijevic                                                                                      
Barcelona y la sardana        ,Christian Anwander                                                                                       
Balloon Snatcher              ,Cosmo Anzilotti                                                                                          
Baron Von Go-Go               ,Cosmo Anzilotti                                                                                          
Babes of the Bay              ,Paul Norman                                                                                              
Bad Girls 5: Maximum Babes    ,Paul Norman                                                                                              
Barefoot Confidential         ,Mark Kulkis                                                                                              
Barefoot Confidential 2       ,Mark Kulkis                                                                                              
Barefoot Confidential 3: Kille,Mark Kulkis                                                                                              
Barefoot Confidential 8       ,Mark Kulkis                                                                                              
Barefoot Confidential 9       ,Mark Kulkis                                                                                              
Barefoot Confidential 13      ,Mark Kulkis                                                                                              
Barefoot Confidential 4: Accen,Mark Kulkis                                                                                              
Barefoot Confidential 5       ,Mark Kulkis                                                                                              
Barefoot Confidential 6: Dirty,Mark Kulkis                                                                                              
Barefoot Confidential 30      ,Mark Kulkis                                                                                              
Barefoot Confidential 11: Bare,Mark Kulkis                                                                                              
Barefoot Confidential 33      ,Mark Kulkis                                                                                              
Barefoot Confidential 34      ,Mark Kulkis                                                                                              
Barefoot Confidential 10      ,Mark Kulkis                                                                                              
Barefoot Confidential 16      ,Mark Kulkis                                                                                              
Barefoot Confidential 7: Arch ,Mark Kulkis                                                                                              
Barefoot Confidential 35      ,Mark Kulkis                                                                                              
Baas Ganzendonck              ,Gaston Arien                                                                                             
Baxter Earns His Wings        ,Don Arioli                                                                                               
Baril at balisong             ,Jun Aristorenas                                                                                          
Bayar tapi nyicil             ,Arizal                                                                                                   
Baba Kartal                   ,Cüneyt Arkin                                                                                            
Babasinin Oglu                ,Cüneyt Arkin                                                                                            
Bambi                         ,Samuel Armstrong                                                                                         
Barbie                        ,Natasha Arthy                                                                                            
Bang                          ,Ash Baron-Cohen                                                                                          
