Badge of Honor                ,Arthur Hiller                                                                                            
Battle of the Bulge           ,Ken Annakin                                                                                              
Banner in the Sky: To Conquer ,Ken Annakin                                                                                              
Banner in the Sky: The Killer ,Ken Annakin                                                                                              
Barbed Wire                   ,George Archainbaud                                                                                       
Bad Men of the Valley         ,George Archainbaud                                                                                       
Bandidos                      ,George Archainbaud                                                                                       
Battle Axe                    ,George Archainbaud                                                                                       
Bad Medicine                  ,George Archainbaud                                                                                       
Batter Up                     ,Hy Averback                                                                                              
Bars                          ,Richard Franklin                                                                                         
Backstage with Little Lorenzo ,Christopher Bradley                                                                                      
Bankrott                      ,Axel Sand                                                                                                
Baroud                        ,Rex Ingram                                                                                               
Battlefield Earth             ,Roger Christian                                                                                          
Bandido                       ,Roger Christian                                                                                          
Back on Track                 ,Kevin Inch                                                                                               
Bartime                       ,Ernst Gossner                                                                                            
Baroque A Nova                ,Michael Armstrong                                                                                        
Battle of the Barge           ,Bill Corcoran                                                                                            
Baby Makes Five               ,Bill D'Elia                                                                                              
Back in the High Life Again   ,Bill D'Elia                                                                                              
Back to the Future            ,Bill D'Elia                                                                                              
Baby Killer                   ,Juan José Campanella                                                                                    
Ballets Russes                ,Daniel Geller                                                                                            
Baby Love                     ,Michael Nankin                                                                                           
Barney                        ,Antony Thomas                                                                                            
Bad Apple                     ,Adam Bernstein                                                                                           
Bakboordbrand                 ,Stephan Brenninkmeijer                                                                                   
Bayou Romance: Part 1         ,Alan Myerson                                                                                             
Bad Attitudes                 ,Alan Myerson                                                                                             
Bad Moons Rising              ,Alan Myerson                                                                                             
Bad Girl                      ,Alan Myerson                                                                                             
Bad Publicity                 ,Alan Myerson                                                                                             
Bad Vibrations                ,David Tucker                                                                                             
Bad Man                       ,Victoria Arch                                                                                            
Bad Dog and Superhero         ,Kenneth Hughes                                                                                           
Ban on the Fun                ,Chris McKay                                                                                              
Battle Hymn                   ,Peter Weyrauch                                                                                           
Babe                          ,Chris Noonan                                                                                             
Battle at Vekara              ,Jon Kroll                                                                                                
Barbecue                      ,Tucker Gates                                                                                             
Bathroom                      ,Tucker Gates                                                                                             
Baba Yaga                     ,Corrado Farina                                                                                           
Bad Girl                      ,Jace Alexander                                                                                           
Baggage                       ,Jace Alexander                                                                                           
Back to You and Me            ,David S. Cass Sr.                                                                                        
Battered Lives                ,Roger Cardinal                                                                                           
Basic Sexual Instinct         ,Antonio Adamo                                                                                            
BachelorMan                   ,John Putch                                                                                               
Bad Amanda                    ,John Putch                                                                                               
Battle of the Seasons: Hang Ma,Tim Atzinger                                                                                             
Bad Company                   ,Julian Richards                                                                                          
Bare Knuckles                 ,James P. Hogan                                                                                           
Banished                      ,Declan Recks                                                                                             
Barrio Nights                 ,Rob Cohen                                                                                                
Bachelor of Arts              ,Louis King                                                                                               
Bad Sport                     ,David Blass                                                                                              
Backdoor to Paradise          ,Jamie Gillis                                                                                             
Back on the Prowl             ,Jamie Gillis                                                                                             
Back on the Prowl 2           ,Jamie Gillis                                                                                             
Baby Blues                    ,Daniel Attias                                                                                            
Back to the Garden            ,Daniel Attias                                                                                            
Back in the Saddle            ,Daniel Attias                                                                                            
Bach & Variations             ,Anthony Fabian                                                                                           
Battle Fatigue                ,Sharron Miller                                                                                           
Bad Animals                   ,David Birdsell                                                                                           
Bariera                       ,Ryszard Bugajski                                                                                         
Babyface                      ,Jack Blum                                                                                                
Babes Illustrated 3           ,Jane Waters                                                                                              
Babes Illustrated 4           ,Jane Waters                                                                                              
Babes Illustrated             ,Jane Waters                                                                                              
Babes Illustrated II          ,Jane Waters                                                                                              
Barely Legal 51               ,Jane Waters                                                                                              
Barras heute                  ,Paul May                                                                                                 
Bare Witness                  ,Kelley Cauthen                                                                                           
Bad Boy Heath                 ,Ralph Strasser                                                                                           
Backyard Talent Show          ,Erik Fleming                                                                                             
Bachelor-at-Law               ,Jay Sandrich                                                                                             
Back in Business              ,Jay Sandrich                                                                                             
