Abschiedsvorstellung          ,Walter Bannert                                                                                           
Aag Aur Shola                 ,K. Bapaiah                                                                                               
Aaj Ka Daur                   ,K. Bapaiah                                                                                               
Abhi Kal Hi Ki Baat Hai       ,Clement Baptista                                                                                         
Aí Vêm os Cadetes           ,Luiz de Barros                                                                                           
Abgesperrt                    ,Axel Barth                                                                                               
Abgesägt                     ,Mila Beck                                                                                                
Abschied                      ,Holger Barthel                                                                                           
Abgehört                     ,Holger Barthel                                                                                           
Abbott and Costello Meet Frank,Charles Barton                                                                                           
Abuzer Kadayif                ,Tunç Basaran                                                                                            
Abschied vom falschen Paradies,Tevfik Baser                                                                                             
Aaghat                        ,Raj Basu                                                                                                 
Abu's Dungeon                 ,Joy Batchelor                                                                                            
Abschied vom Zelluloid        ,Christian Bauer                                                                                          
Ab in den Westen?             ,Ulli Baumann                                                                                             
Abschied                      ,Andy Bausch                                                                                              
Abide with Me                 ,Adrian Bean                                                                                              
Absence Makes the Heart Grow F,Alexander Butler                                                                                         
Abendstern                    ,Wolfgang Becker                                                                                          
Aakhri Sanghursh              ,Narendra Bedi                                                                                            
Aankhin Dekhi                 ,Rajinder Singh Bedi                                                                                      
About Face                    ,Anthony Bell                                                                                             
Abschiede                     ,Lothar Bellag                                                                                            
Absorb the Greek              ,Richard Benedict                                                                                         
Above the Law                 ,Richard Benedict                                                                                         
Abode of Kings: Rajasthan     ,Shyam Benegal                                                                                            
About a Bout                  ,Rodney Bennett                                                                                           
Abu Markúb och de hundrade   ,Bengt Berg                                                                                               
Aaaahh                        ,Nils Bergendal                                                                                           
AB. Dun och Bolster           ,Hans Bergström                                                                                          
Ab-dick-ted                   ,Robert Berlinger                                                                                         
Abschied                      ,Fritz Bernhardt                                                                                          
Abandoned Animals             ,Paul Berriff                                                                                             
Absolutely ABC                ,Alan Best                                                                                                
Abgehauen                     ,Frank Beyer                                                                                              
Aattuvanchi Ulanjappol        ,Bhadran                                                                                                  
Aakhree Raasta                ,Bhagyaraj                                                                                                
Aararo Aariraro               ,Bhagyaraj                                                                                                
Aavarampoo                    ,Bharathan                                                                                                
Aaradi Manninte Janmi         ,P. Bhaskaran                                                                                             
Aadhya Kiranangal             ,P. Bhaskaran                                                                                             
Aankh Ki Sharm                ,Balwant Bhatt                                                                                            
Abhimanyu                     ,Mahesh Bhatt                                                                                             
Aashiqui                      ,Mahesh Bhatt                                                                                             
Aaj                           ,Mahesh Bhatt                                                                                             
Aashiana                      ,Mahesh Bhatt                                                                                             
Aap Mujhe Achche Lagne Lage   ,Vikram Bhatt                                                                                             
Aavishkar                     ,Basu Bhattacharya                                                                                        
Aastha: In the Prison of Sprin,Basu Bhattacharya                                                                                        
Aadmi                         ,A. Bhimsingh                                                                                             
Aai Phirse Bahar              ,A. Bhimsingh                                                                                             
Abracadabra                   ,Indra Bhose                                                                                              
Abseits vom Glück            ,Rudolf Biebrach                                                                                          
Aaaaaah                       ,Vincent Bierrewaerts                                                                                     
Abduction                     ,Bruce Bilson                                                                                             
About Face                    ,Bruce Bilson                                                                                             
Aaron Slick from Punkin Crick ,Claude Binyon                                                                                            
Aadhi Mimansa                 ,Apurba Kishore Bir                                                                                       
Abuse of Power                ,Robert Black                                                                                             
Abner Come Home/The Sewer King,Cullen Blaine                                                                                            
Abattoir                      ,Didier Blasco                                                                                            
Absage an Viktoria            ,Celino Bleiweiß                                                                                         
Aanraken                      ,Marion Bloem                                                                                             
Abelar: Tales of an Ancient Em,Albert Pyun                                                                                              
Abenteuer meiner Seele        ,Moritz Boerner                                                                                           
Abenteuer in Warschau         ,Carl Boese                                                                                               
Aaj Ka Arjun                  ,K.C. Bokadia                                                                                             
Absolution                    ,Sanford Bookstaver                                                                                       
Absolution                    ,Clay Borris                                                                                              
Abhilasha                     ,Amit Bose                                                                                                
Abhinava                      ,Debaki Kumar Bose                                                                                        
Abhinoy                       ,Modhu Bose                                                                                               
Aasra                         ,Satyen Bose                                                                                              
Aan het eind van de aspergetij,Mette Bouhuijs                                                                                           
Abducted: A Father's Love     ,Chuck Bowman                                                                                             
Aberration                    ,Tim Boxell                                                                                               
Absence                       ,Stan Brakhage                                                                                            
Abgehauen                     ,Jürgen Brauer                                                                                           
Abschied für immer           ,Jürgen Brauer                                                                                           
Abschiedsbriefe               ,Michael Braun                                                                                            
Abduction                     ,Scott Brazil                                                                                             
Absinthe                      ,Herbert Brenon                                                                                           
Abuse                         ,Arthur J. Bressan Jr.                                                                                    
Abgestürzt                   ,Jürgen Bretzinger                                                                                       
Above Everything Else         ,Lino Brocka                                                                                              
Absolute Power                ,Sebastian Brodin                                                                                         
Absolution                    ,Dan Bronzite                                                                                             
AAA Cercasi ragazza tuttofare ,Mara Bronzoni                                                                                            
Abgezockt                     ,Markus Bräutigam                                                                                        
Absprung                      ,Hanno Brühl                                                                                             
Abschied in den Tod           ,Martin Buchhorn                                                                                          
Abolition                     ,Zózimo Bulbul                                                                                           
