The Bandit Makes Good         ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Best Man Wins             ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Black Sheep               ,Gilbert M. 'Broncho Billy' Anderson                                                                      
Concurso de sardanas en el par,Fructuós Gelabert                                                                                     
Fiestas de San Antonio        ,Fructuós Gelabert                                                                                     
Procesión marítima en Sa,Fructuós Gelabert                                                                                     
Romería a San Medín     ,Fructuós Gelabert                                                                                     
Tierra baja                   ,Fructuós Gelabert                                                                                     
Villafranca: Fiestas del Drac ,Fructuós Gelabert                                                                                     
Amor que mata                 ,Fructuós Gelabert                                                                                     
Los calzoncillos de Tony      ,Fructuós Gelabert                                                                                     
Carreras de caballos de 1908  ,Fructuós Gelabert                                                                                     
Los competidores              ,Fructuós Gelabert                                                                                     
Corrida de toros con Antonio F,Fructuós Gelabert                                                                                     
Corrida de toros con Ricardo T,Fructuós Gelabert                                                                                     
La Dolores                    ,Fructuós Gelabert                                                                                     
Excursión a Montserrat     ,Fructuós Gelabert                                                                                     
Fiestas del carnaval de 1908 e,Fructuós Gelabert                                                                                     
Gerona monumental             ,Fructuós Gelabert                                                                                     
El guardia burlado            ,Fructuós Gelabert                                                                                     
Mallorca, isla dorada         ,Fructuós Gelabert                                                                                     
María Rosa                 ,Fructuós Gelabert                                                                                     
Monasterio de Poblet          ,Fructuós Gelabert                                                                                     
Simulacro de bomberos en la Pl,Fructuós Gelabert                                                                                     
Baño imprevisto            ,Fructuós Gelabert                                                                                     
Corazón de madre           ,Fructuós Gelabert                                                                                     
The Cricket on the Hearth     ,D.W. Griffith                                                                                            
The Criminal Hypnotist        ,D.W. Griffith                                                                                            
The Curtain Pole              ,D.W. Griffith                                                                                            
The Day After                 ,D.W. Griffith                                                                                            
The Death Disc: A Story of the,D.W. Griffith                                                                                            
The Deception                 ,D.W. Griffith                                                                                            
The Drive for a Life          ,D.W. Griffith                                                                                            
A Drunkard's Reformation      ,D.W. Griffith                                                                                            
The Eavesdropper              ,D.W. Griffith                                                                                            
Edgar Allan Poe               ,D.W. Griffith                                                                                            
Eloping with Auntie           ,D.W. Griffith                                                                                            
Eradicating Aunty             ,D.W. Griffith                                                                                            
The Expiation                 ,D.W. Griffith                                                                                            
